Ano;Sede;;Final;;;;Semifinalistas;;
;;;Campeão;Placar(es);Vice-campeão;;3º lugar;Placar(es);4º lugar
1930;;;;4 – 2;;;;[nota 1];
Detalhes;Uruguai;;Uruguai;;Argentina;;Estados Unidos;;Iugoslávia
1934;;;;2 – 1 (pro);;;;3 – 2;
Detalhes;Itália;;Itália;;Tchecoslováquia;;Alemanha;;Áustria
1938;;;;4 – 2;;;;4 – 2;
Detalhes;França;;Itália;;Hungria;;Brasil;;Suécia
1942;Edições canceladas devido à Segunda Guerra Mundial.;;;;;;;;
Detalhes;;;;;;;;;
1946;;;;;;;;;
1950;;;;2 – 1;;;;3 – 1;
Detalhes;Brasil;;Uruguai;[nota 2];Brasil;;Suécia;[nota 2];Espanha
1954;;;;3 – 2;;;;3 – 1;
Detalhes;Suíça;;Alemanha Ocidental;;Hungria;;Áustria;;Uruguai
1958;;;;5 – 2;;;;6 – 3;
Detalhes;Suécia;;Brasil;;Suécia;;França;;Alemanha Ocidental
1962;;;;3 – 1;;;;1 – 0;
Detalhes;Chile;;Brasil;;Tchecoslováquia;;Chile;;Iugoslávia
1966;;;;4 – 2 (pro);;;;2 – 1;
Detalhes;Inglaterra;;Inglaterra;;Alemanha Ocidental;;Portugal;;União Soviética
1970;;;;4 – 1;;;;1 – 0;
Detalhes;México;;Brasil;;Itália;;Alemanha Ocidental;;Uruguai
1974;;;;2 – 1;;;;1 – 0;
Detalhes;Alemanha Ocidental;;Alemanha Ocidental;;Países Baixos;;Polônia;;Brasil
1978;;;;3 – 1 (pro);;;;2 – 1;
Detalhes;Argentina;;Argentina;;Países Baixos;;Brasil;;Itália
1982;;;;3 – 1;;;;3 – 2;
Detalhes;Espanha;;Itália;;Alemanha Ocidental;;Polônia;;França
1986;;;;3 – 2;;;;4 – 2 (pro);
Detalhes;México;;Argentina;;Alemanha Ocidental;;França;;Bélgica
1990;;;;1 – 0;;;;2 – 1;
Detalhes;Itália;;Alemanha Ocidental;;Argentina;;Itália;;Inglaterra
1994;;;;0 – 0 (pro);;;;4 – 0;
Detalhes;Estados Unidos;;Brasil;3 – 2 (pen);Itália;;Suécia;;Bulgária
1998;;;;3 – 0;;;;2 – 1;
Detalhes;França;;França;;Brasil;;Croácia;;Países Baixos
2002; Coreia do Sul;;;2 – 0;;;;3 – 2;
Detalhes; Japão;;Brasil;;Alemanha;;Turquia;;Coreia do Sul
2006;;;;1 – 1 (pro);;;;3 – 1;
Detalhes;Alemanha;;Itália;5 – 3 (pen);França;;Alemanha;;Portugal
2010;;;;1 – 0 (pro);;;;3 – 2;
Detalhes;África do Sul;;Espanha;;Países Baixos;;Alemanha;;Uruguai
2014;;;;1 – 0 (pro);;;;3 – 0;
Detalhes;Brasil;;Alemanha;;Argentina;;Países Baixos;;Brasil
2018;;;;4 – 2;;;;2 – 0;
Detalhes;Rússia;;França;;Croácia;;Bélgica;;Inglaterra
2022;;;;3 – 3 (pro);;;;2 – 1;
Detalhes;Catar;;Argentina;4 – 2 (pen);França;;Croácia;;Marrocos
;;;;;;;;;
;;;;;;;;;
